epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
70,8533.9,0.51506,0.74428,0.94122,0.90378,0,0.7892,0.74791,0.82823,0.65494,0.70253,0.66868,0.72345,0.42166,0.53276,0.68829,0.7071,0.8296,0,0.00045285,0.00045285,0.00045285
71,8655.62,0.51578,0.74868,0.9204,0.89636,0,0.79585,0.75048,0.83051,0.66562,0.75801,0.64346,0.73238,0.43436,0.52442,0.68241,0.7048,0.82839,0,0.000438703,0.000438703,0.000438703
72,8777.08,0.52043,0.74926,0.92943,0.89699,0,0.79481,0.76784,0.83782,0.67356,0.72156,0.68772,0.74133,0.44681,0.51589,0.65214,0.70862,0.82497,0,0.000424556,0.000424556,0.000424556
73,8898.66,0.51235,0.75012,0.9238,0.89942,0,0.78142,0.78404,0.83737,0.66745,0.7092,0.68901,0.73285,0.42461,0.5228,0.63803,0.6847,0.82613,0,0.000410409,0.000410409,0.000410409
74,9019.9,0.52046,0.75272,0.921,0.90435,0,0.79652,0.76611,0.83608,0.66931,0.72627,0.69099,0.74401,0.44879,0.52132,0.63881,0.76459,0.82655,0,0.000396262,0.000396262,0.000396262
75,9141.61,0.50288,0.72847,0.87537,0.89741,0,0.80564,0.78147,0.85318,0.68204,0.73713,0.68968,0.74936,0.44193,0.52131,0.63456,0.65766,0.82461,0,0.000382115,0.000382115,0.000382115
76,9263.14,0.51167,0.75394,0.89834,0.89585,0,0.81313,0.76684,0.8499,0.68615,0.75321,0.68624,0.75429,0.45385,0.5101,0.60406,0.64853,0.82117,0,0.000367967,0.000367967,0.000367967
77,9384.85,0.49949,0.73646,0.86339,0.89145,0,0.7965,0.76532,0.84339,0.67787,0.72908,0.6952,0.74822,0.43765,0.51234,0.62789,0.70629,0.82788,0,0.00035382,0.00035382,0.00035382
78,9506.04,0.49289,0.71506,0.88451,0.89761,0,0.81379,0.76064,0.84913,0.6843,0.75069,0.68796,0.752,0.44297,0.51394,0.64273,0.64937,0.83099,0,0.000339673,0.000339673,0.000339673
79,9627.19,0.49786,0.72435,0.87322,0.89502,0,0.83519,0.75912,0.85642,0.69056,0.75674,0.68583,0.75157,0.44049,0.51153,0.63815,0.67642,0.82514,0,0.000325526,0.000325526,0.000325526
80,9748.78,0.49674,0.73112,0.84769,0.89058,0,0.82284,0.77165,0.84957,0.68917,0.75005,0.69759,0.75629,0.46047,0.50101,0.63163,0.68927,0.82431,0,0.000311379,0.000311379,0.000311379
81,9870.03,0.49252,0.73411,0.87481,0.89552,0,0.82065,0.769,0.84867,0.68506,0.75558,0.68063,0.7443,0.44006,0.50919,0.68843,0.6648,0.82163,0,0.000297232,0.000297232,0.000297232
82,9991.46,0.49871,0.72405,0.84854,0.89647,0,0.8135,0.76209,0.84758,0.6841,0.74848,0.68339,0.75095,0.45421,0.50452,0.62279,0.66145,0.82025,0,0.000283085,0.000283085,0.000283085
83,10113,0.48907,0.73327,0.8561,0.89298,0,0.8234,0.75428,0.84379,0.67954,0.75619,0.67166,0.74008,0.44311,0.50725,0.65551,0.74717,0.81992,0,0.000268938,0.000268938,0.000268938
84,10234.3,0.4882,0.72019,0.85598,0.89604,0,0.82447,0.76263,0.84842,0.68449,0.76218,0.68077,0.75031,0.44377,0.50959,0.63375,0.67616,0.81856,0,0.000254791,0.000254791,0.000254791
85,10355.8,0.49397,0.72635,0.85147,0.89676,0,0.83104,0.77264,0.85012,0.68854,0.75873,0.69274,0.75581,0.45263,0.50749,0.62622,0.66109,0.82172,0,0.000240644,0.000240644,0.000240644
86,10477.7,0.48044,0.71781,0.83467,0.88539,0,0.83234,0.76683,0.85395,0.68969,0.754,0.67957,0.74707,0.44478,0.50363,0.63885,0.68139,0.81557,0,0.000226497,0.000226497,0.000226497
87,10599.6,0.4891,0.705,0.82231,0.8911,0,0.83287,0.7645,0.85152,0.68687,0.75961,0.67976,0.74537,0.43963,0.50401,0.63175,0.64544,0.81544,0,0.000212349,0.000212349,0.000212349
88,10721.5,0.48366,0.69984,0.83368,0.89517,0,0.8445,0.76013,0.85612,0.68831,0.75771,0.67421,0.74252,0.44102,0.50233,0.62766,0.64936,0.8151,0,0.000198202,0.000198202,0.000198202
89,10843.3,0.4919,0.71153,0.80618,0.89314,0,0.84082,0.77087,0.85876,0.69543,0.76771,0.68621,0.75992,0.4619,0.49637,0.61258,0.64671,0.81587,0,0.000184055,0.000184055,0.000184055
90,10964.9,0.47935,0.69895,0.82146,0.88569,0,0.84251,0.7686,0.85824,0.69634,0.76813,0.68447,0.75499,0.45714,0.49257,0.64015,0.63784,0.81446,0,0.000169908,0.000169908,0.000169908
91,11086.3,0.5251,0.60149,0.61929,0.88499,0,0.82944,0.76061,0.84973,0.68432,0.75891,0.67567,0.75256,0.45479,0.51096,0.62668,0.65373,0.81909,0,0.000155761,0.000155761,0.000155761
92,11206.7,0.50713,0.62312,0.58967,0.86937,0,0.83349,0.76603,0.85792,0.7008,0.76163,0.68212,0.75482,0.45753,0.48696,0.59823,0.62736,0.81373,0,0.000141614,0.000141614,0.000141614
93,11326.7,0.5062,0.60982,0.57602,0.86765,0,0.81939,0.78078,0.86157,0.70454,0.76873,0.67619,0.75861,0.46188,0.48897,0.58051,0.60384,0.81507,0,0.000127467,0.000127467,0.000127467
94,11446.7,0.50566,0.60712,0.56747,0.8702,0,0.82015,0.77213,0.85425,0.69964,0.76743,0.67524,0.75269,0.46053,0.48912,0.57449,0.61951,0.81527,0,0.00011332,0.00011332,0.00011332
95,11566.3,0.51205,0.60397,0.55503,0.8691,0,0.83681,0.78255,0.86213,0.70314,0.7739,0.67253,0.74526,0.45053,0.4997,0.59507,0.60609,0.81356,0,9.91726e-05,9.91726e-05,9.91726e-05
96,11685.6,0.50518,0.61466,0.56159,0.86762,0,0.8297,0.78648,0.85961,0.70477,0.76028,0.69506,0.75981,0.46175,0.49179,0.58749,0.62902,0.8131,0,8.50255e-05,8.50255e-05,8.50255e-05
97,11805,0.49957,0.5916,0.56488,0.86338,0,0.82894,0.78206,0.86248,0.71067,0.76839,0.68853,0.76178,0.46511,0.48647,0.58981,0.60747,0.8118,0,7.08784e-05,7.08784e-05,7.08784e-05
98,11924.4,0.48386,0.57798,0.55234,0.85685,0,0.83768,0.77011,0.8603,0.70643,0.77119,0.68164,0.75744,0.46149,0.48666,0.5865,0.61034,0.81101,0,5.67313e-05,5.67313e-05,5.67313e-05
99,12043.5,0.49304,0.59117,0.52437,0.85665,0,0.82609,0.78963,0.86135,0.70513,0.75655,0.6906,0.75537,0.45966,0.48937,0.59503,0.61512,0.81095,0,4.25842e-05,4.25842e-05,4.25842e-05
100,12162.3,0.48842,0.59438,0.52084,0.85665,0,0.8286,0.78787,0.86119,0.7049,0.75491,0.69831,0.75684,0.46024,0.4911,0.59447,0.6214,0.8101,0,2.84371e-05,2.84371e-05,2.84371e-05
