feature,中文含义,特征值说明_中文,mlp_weight_abs_importance,rf_importance,perm_roc_auc,perm_pr_auc,perm_accuracy,perm_balanced_accuracy,perm_trusted_accuracy,perm_drop_roc_auc,perm_drop_pr_auc,perm_drop_accuracy,perm_drop_balanced_accuracy,perm_drop_trusted_accuracy,combined_mlp_perm
SerumCreatinine,血肌酐,,33.32569004796255,0.015820034,0.9673746312684366,0.946402887127774,0.9202127659574468,0.9246607669616519,0.9224314043811791,-0.0007669616519173639,-0.001518255551302694,-0.005319148936170248,-0.004424778761061954,-0.004874378041125227,0.4021845632207277
CholesterolTriglycerides,甘油三酯,,33.176755473938684,0.01976041,0.9598230088495575,0.9372608771682618,0.9202127659574468,0.9246607669616519,0.9224314043811791,0.006784660766961714,0.007623754408209504,-0.005319148936170248,-0.004424778761061954,-0.004874378041125227,0.4003473773783532
QualityOfLifeScore,生活质量评分,,33.75341763232892,0.022216681,0.9599410029498525,0.9374232408314469,0.925531914893617,0.9290855457227138,0.927305325753766,0.00666666666666671,0.007461390745024388,-0.010638297872340385,-0.008849557522123908,-0.009748299413712136,0.3985555584555439
FamilyHistoryDiabetes,糖尿病家族史,,32.787532850094024,0.024147298,0.9668436578171091,0.9451698133073064,0.9202127659574468,0.9246607669616519,0.9224314043811791,-0.00023598820058989833,-0.00028518173083513787,-0.005319148936170248,-0.004424778761061954,-0.004874378041125227,0.39554611280465735
Gender,性别,,32.03699199697587,0.016764076,0.9663126843657818,0.9449242895618077,0.9148936170212766,0.9202359882005899,0.9175570263400539,0.0002949852507374562,-3.965798533644982e-05,0.0,0.0,0.0,0.39519304711394837
PreviousPreDiabetes,既往糖尿病前期,,31.767208326231057,0.0,0.9666076696165192,0.9448846315764713,0.9148936170212766,0.9202359882005899,0.9175570263400539,0.0,0.0,0.0,0.0,0.0,0.39186512447647687
SleepQuality,睡眠质量,,32.3006975036152,0.018500315,0.968495575221239,0.948111544388028,0.9202127659574468,0.9246607669616519,0.9224314043811791,-0.0018879056047197418,-0.003226912811556737,-0.005319148936170248,-0.004424778761061954,-0.004874378041125227,0.38954074425957347
CholesterolTotal,总胆固醇,,32.746784182702136,0.01756672,0.9708554572271386,0.9584866048918337,0.925531914893617,0.9290855457227138,0.927305325753766,-0.004247787610619391,-0.013601973315362392,-0.010638297872340385,-0.008849557522123908,-0.009748299413712136,0.38613820852698677
BMI,体重指数,,31.964305223572442,0.01934395,0.9629498525073745,0.938150884567662,0.9202127659574468,0.9246607669616519,0.9224314043811791,0.003657817109144701,0.006733747008809243,-0.005319148936170248,-0.004424778761061954,-0.004874378041125227,0.3853911695994976
PolycysticOvarySyndrome,多囊卵巢综合征,,31.07137405021801,0.0,0.9666076696165192,0.9448846315764713,0.9148936170212766,0.9202359882005899,0.9175570263400539,0.0,0.0,0.0,0.0,0.0,0.38328164485860633
PhysicalActivity,体力活动,,31.06133590003691,0.020781716,0.9607669616519174,0.9395340573943076,0.9148936170212766,0.9202359882005899,0.9175570263400539,0.005840707964601788,0.00535057418216367,0.0,0.0,0.0,0.3831578190275847
Age,年龄,,31.026490511740047,0.021188969,0.9662536873156341,0.9442640822435835,0.9148936170212766,0.9202359882005899,0.9175570263400539,0.00035398230088512506,0.0006205493328877987,0.0,0.0,0.0,0.38272798294371624
HealthLiteracy,健康素养,,31.72377712880673,0.021110734,0.9705014749262536,0.9540807026918204,0.9202127659574468,0.9246607669616519,0.9224314043811791,-0.0038938053097343772,-0.009196071115349147,-0.005319148936170248,-0.004424778761061954,-0.004874378041125227,0.38242412978827106
GestationalDiabetes,妊娠糖尿病史,,30.829309216176448,0.025361236,0.9663126843657818,0.944859057497206,0.9148936170212766,0.9202359882005899,0.9175570263400539,0.0002949852507374562,2.5574079265289207e-05,0.0,0.0,0.0,0.3802956485649141
AntidiabeticMedications,降糖药使用,,30.7780707565851,0.02689279,0.9665486725663717,0.9447995784182475,0.9148936170212766,0.9202359882005899,0.9175570263400539,5.899705014755785e-05,8.505315822382453e-05,0.0,0.0,0.0,0.37966359537536243
DiastolicBP,舒张压,,30.772311618761293,0.018090365,0.9660766961651918,0.9449170524926073,0.9148936170212766,0.9202359882005899,0.9175570263400539,0.0005309734513274655,-3.242091613597786e-05,0.0,0.0,0.0,0.37959255339908843
BlurredVision,视物模糊,,29.85793973846878,0.014585561,0.9662536873156342,0.944286007103722,0.9148936170212766,0.9202359882005899,0.9175570263400539,0.00035398230088501403,0.0005986244727492762,0.0,0.0,0.0,0.36831329816806613
AlcoholConsumption,饮酒量/频率,,30.564142922183283,0.017619124,0.9705604719764012,0.957369795578927,0.9202127659574468,0.9246607669616519,0.9224314043811791,-0.003952802359881935,-0.012485164002455695,-0.005319148936170248,-0.004424778761061954,-0.004874378041125227,0.36811943552432935
UnexplainedWeightLoss,不明原因体重下降,,30.466962384564827,0.0404279,0.9661946902654868,0.9450608537648171,0.9202127659574468,0.9246607669616519,0.9224314043811791,0.00041297935103246086,-0.00017622218834578707,-0.005319148936170248,-0.004424778761061954,-0.004874378041125227,0.366920662781082
CholesterolHDL,高密度脂蛋白胆固醇,,30.284786949872686,0.017696047,0.9708554572271386,0.9478200695264679,0.925531914893617,0.9290855457227138,0.927305325753766,-0.004247787610619391,-0.002935437949996622,-0.010638297872340385,-0.008849557522123908,-0.009748299413712136,0.3557681853824973
SlowHealingSores,伤口愈合慢,,28.184425392763693,0.016954599,0.9665486725663717,0.9448030821371236,0.9148936170212766,0.9202359882005899,0.9175570263400539,5.899705014755785e-05,8.154943934768344e-05,0.0,0.0,0.0,0.3476696237016703
AntihypertensiveMedications,降压药使用,,26.32757840590464,0.01689847,0.9671976401179941,0.9456266684182115,0.9148936170212766,0.9202359882005899,0.9175570263400539,-0.0005899705014749124,-0.0007420368417402345,0.0,0.0,0.0,0.32476444524950937
