,RIDAGEYR,BMXWT,BMXHT,BMXBMI,BMXWAIST,BPXSY1,BPXDI1,LBXSATSI,LBXSASSI,LBXSGTSI,LBXSTB,LBXSAL,LBXGLU,LBXGH,LBDHDD,LBXTR,LBDLDL,LBXSUA,TyG,ALT_AST_ratio,TC_HDL_ratio,BRI
LBXSTB,0.09692995615037255,-0.04617816706618453,0.17198541591810174,-0.1396633304724503,-0.07991120320596234,0.05930794371596743,0.06325961022026375,0.17478933598419302,0.22372982188325682,0.09339882955942656,1.0,0.3477458838318,0.04431497711069655,-0.10629912454929959,0.03505828506149238,-0.05882343580357819,-0.07051253669991839,0.13318763047310084,-0.035293795017529335,0.05188669478597629,-0.08046026884992542,-0.13994003809290312
LBXSAL,-0.19171269427977441,-0.1788595491111083,0.23578765634155757,-0.3170881747990856,-0.2892643319384041,-0.08903564335961299,-0.010166335840332115,0.1977929173286149,0.2115658903954429,0.011224181988562799,0.3477458838318,1.0,-0.05904557075772154,-0.21587584056278716,-0.01981097032913357,-0.04422475791122829,-0.004017439991379762,0.10516430169830818,-0.0558282574374895,0.11474863495904844,0.009655416148483822,-0.36311479933759244
LBXGLU,0.3961151175585717,0.25577590271294404,0.009617541951238906,0.2854182548504637,0.3671159625191825,0.3262763466095957,0.12279841273782893,0.23716353987993843,0.07808874509885892,0.3013186108995356,0.04431497711069655,-0.05904557075772154,1.0,0.6229220057034959,-0.24360786957647038,0.32157040761894423,-0.01843728178306001,0.17996990288547285,0.5317437686439019,0.28751423805577686,0.20199333522391255,0.3618745877294328
LBXGH,0.5006605965279668,0.19812390827651827,-0.08760414729400094,0.2726599158931092,0.3418772741637599,0.36426408727842463,0.10411804603370782,0.13607628060103133,0.04125215221237207,0.26204742168346556,-0.10629912454929959,-0.21587584056278716,0.6229220057034959,1.0,-0.17081557542777817,0.293604232538897,0.019874777060019333,0.14128458121728346,0.43392408651796754,0.16691153525399868,0.1718838105690021,0.3725284638115619
LBDHDD,0.09531002064558529,-0.3966044996971333,-0.22770359029717516,-0.3343005108251788,-0.3695188083336646,-0.06675547162993359,-0.090346770936874,-0.2540315891503176,-0.06036731504693361,-0.21628946149185188,0.03505828506149238,-0.01981097032913357,-0.24360786957647038,-0.17081557542777817,1.0,-0.5040953815126904,-0.014498173337377832,-0.323138863664187,-0.503174687454779,-0.338672286034071,-0.7105657294623112,-0.29016034603197016
LBXTR,0.21319619425913233,0.2246082632187803,-0.01609563114900137,0.26713845463706704,0.32652592462839514,0.23683565522268718,0.17885682776909143,0.2948820053808531,0.1260421830863818,0.3793009278982457,-0.05882343580357819,-0.04422475791122829,0.32157040761894423,0.293604232538897,-0.5040953815126904,1.0,0.24739915281457558,0.2760898456382943,0.9602429432416335,0.3395312968398725,0.6679547805462237,0.33291845652602087
LBDLDL,0.05358455606525063,0.03612154963736455,-0.034770214528207874,0.06356278718950555,0.057052296065949054,0.11219037467032225,0.17477224845957573,0.08026589707888855,0.02453571740667404,0.12166534097165536,-0.07051253669991839,-0.004017439991379762,-0.01843728178306001,0.019874777060019333,-0.014498173337377832,0.24739915281457558,1.0,0.08185559576952985,0.2045445706433911,0.10312916931916409,0.6595324260022973,0.07067278066291087
LBXSUA,0.13389288478578368,0.36968490990774205,0.31105769433089275,0.2584561832814594,0.33269867894098853,0.20095161198481234,0.12392662608837901,0.29082358204632563,0.23422561347963206,0.2889824420755217,0.13318763047310084,0.10516430169830818,0.17996990288547285,0.14128458121728346,-0.323138863664187,0.2760898456382943,0.08185559576952985,1.0,0.27336690456631646,0.22044172339672702,0.3023592124005474,0.22555288602824375
TyG,0.2885379961055431,0.2591039834840685,-0.01457420775280375,0.30534962507976987,0.37901618328460135,0.2944984544750388,0.18703447843234938,0.31832988557060526,0.1251852686293751,0.41287024620169765,-0.035293795017529335,-0.0558282574374895,0.5317437686439019,0.43392408651796754,-0.503174687454779,0.9602429432416335,0.2045445706433911,0.27336690456631646,1.0,0.3738912583577246,0.6305620753466109,0.3836761477047937
ALT_AST_ratio,-0.07021467964207027,0.36029745111103295,0.1969340276818636,0.3126803645301086,0.3362455732758695,0.10124956934135669,0.20247901127760462,0.7635745026329733,0.22157178331582622,0.48035723016047965,0.05188669478597629,0.11474863495904844,0.28751423805577686,0.16691153525399868,-0.338672286034071,0.3395312968398725,0.10312916931916409,0.22044172339672702,0.3738912583577246,1.0,0.33688101429816825,0.27232769010054064
TC_HDL_ratio,0.010922527255613428,0.31001689773702007,0.1179133382964266,0.29504620883300303,0.32269270039024345,0.15677009922259866,0.20474654676830087,0.266501097408342,0.08605255005944401,0.29060749467784064,-0.08046026884992542,0.009655416148483822,0.20199333522391255,0.1718838105690021,-0.7105657294623112,0.6679547805462237,0.6595324260022973,0.3023592124005474,0.6305620753466109,0.33688101429816825,1.0,0.2819722606485
BRI,0.28113584091704413,0.710342800189362,-0.19379068965660956,0.9103552363222293,0.9348850378144582,0.29796364574081247,0.11249878062146274,0.16428857115376166,-0.018784105166199112,0.24759167210293764,-0.13994003809290312,-0.36311479933759244,0.3618745877294328,0.3725284638115619,-0.29016034603197016,0.33291845652602087,0.07067278066291087,0.22555288602824375,0.3836761477047937,0.27232769010054064,0.2819722606485,1.0
