epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,6613.47,0.54206,0.80036,0.99097,0.91094,0,0.69727,0.68153,0.73742,0.58431,0.64488,0.59889,0.6429,0.37818,0.58293,0.66377,1.0261,0.85908,0,0.000665057,0.000665057,0.000665057
56,6733.38,0.54949,0.79189,0.98345,0.91196,0,0.71049,0.67579,0.75193,0.60355,0.66951,0.59883,0.66199,0.3955,0.56236,0.68932,0.8749,0.84789,0,0.000650909,0.000650909,0.000650909
57,6853.66,0.5452,0.79057,0.95426,0.91018,0,0.73924,0.68986,0.77031,0.61779,0.70799,0.61781,0.68948,0.41882,0.55189,0.65384,0.85001,0.84814,0,0.000636762,0.000636762,0.000636762
58,6974.24,0.54754,0.80974,0.97596,0.91003,0,0.73235,0.67667,0.75457,0.60065,0.67013,0.61065,0.65954,0.39335,0.56258,0.67191,0.89347,0.84397,0,0.000622615,0.000622615,0.000622615
59,7094.7,0.53749,0.77882,0.9554,0.90746,0,0.76482,0.68008,0.76974,0.61233,0.71527,0.6173,0.68344,0.40578,0.56402,0.67773,0.82231,0.84453,0,0.000608468,0.000608468,0.000608468
60,7215.5,0.53659,0.7858,0.95004,0.90696,0,0.71493,0.71058,0.76887,0.61937,0.695,0.61407,0.68193,0.41507,0.55392,0.65035,0.84109,0.83636,0,0.000594321,0.000594321,0.000594321
61,7336.18,0.53312,0.77434,0.95569,0.90742,0,0.7779,0.68295,0.78286,0.61946,0.71043,0.60555,0.67879,0.3983,0.56379,0.67923,0.86391,0.84267,0,0.000580174,0.000580174,0.000580174
62,7455.78,0.53586,0.76179,0.94538,0.90988,0,0.74246,0.69761,0.78029,0.62122,0.70297,0.60872,0.67991,0.4067,0.56298,0.6512,0.86558,0.83979,0,0.000566027,0.000566027,0.000566027
63,7575.67,0.53579,0.7665,0.94336,0.90198,0,0.78647,0.69294,0.79798,0.64064,0.72649,0.6242,0.70413,0.42599,0.54945,0.63789,0.82497,0.83509,0,0.00055188,0.00055188,0.00055188
64,7695.7,0.52728,0.75088,0.92718,0.9018,0,0.79314,0.66803,0.78291,0.63253,0.71841,0.60852,0.68984,0.4193,0.53855,0.61332,0.83948,0.83321,0,0.000537733,0.000537733,0.000537733
65,7814.89,0.52905,0.76697,0.9419,0.90701,0,0.75221,0.69407,0.78531,0.63339,0.70685,0.62194,0.69403,0.41718,0.53919,0.64553,0.81975,0.83826,0,0.000523586,0.000523586,0.000523586
66,7935.3,0.52279,0.7426,0.92709,0.89934,0,0.7484,0.71277,0.78677,0.6362,0.7163,0.61003,0.68641,0.4086,0.536,0.65612,0.87533,0.83412,0,0.000509438,0.000509438,0.000509438
67,8055.64,0.52184,0.73617,0.90464,0.90339,0,0.75714,0.69298,0.78941,0.63726,0.69129,0.61929,0.68629,0.41472,0.53767,0.62864,0.7913,0.83312,0,0.000495291,0.000495291,0.000495291
68,8175.26,0.51975,0.75345,0.89811,0.9044,0,0.75273,0.6946,0.78129,0.62431,0.71661,0.60009,0.67958,0.40023,0.5447,0.64969,0.80146,0.83607,0,0.000481144,0.000481144,0.000481144
69,8295.77,0.50638,0.74477,0.88853,0.8955,0,0.7516,0.72265,0.79726,0.64747,0.71838,0.63617,0.70732,0.43143,0.52588,0.60353,0.73694,0.83031,0,0.000466997,0.000466997,0.000466997
70,8415.76,0.51101,0.73274,0.90917,0.89928,0,0.76951,0.71399,0.80304,0.64439,0.73025,0.62491,0.70357,0.41594,0.54004,0.63361,0.75157,0.83143,0,0.00045285,0.00045285,0.00045285
71,8535.74,0.51408,0.72955,0.86581,0.89396,0,0.75938,0.71445,0.79398,0.64315,0.72925,0.61791,0.69988,0.4276,0.53137,0.61211,0.77795,0.82925,0,0.000438703,0.000438703,0.000438703
72,8655.8,0.51642,0.7482,0.88901,0.896,0,0.76537,0.72358,0.79948,0.65091,0.72588,0.63669,0.70744,0.42451,0.53348,0.62583,0.83293,0.83136,0,0.000424556,0.000424556,0.000424556
73,8776.13,0.50789,0.72606,0.88075,0.89666,0,0.77984,0.71914,0.8107,0.65756,0.72946,0.64583,0.71793,0.43008,0.52619,0.62205,0.84142,0.8312,0,0.000410409,0.000410409,0.000410409
74,8895.92,0.51442,0.73548,0.87822,0.90287,0,0.78804,0.70283,0.80512,0.65257,0.73985,0.6337,0.71503,0.43511,0.52249,0.59734,0.80498,0.82461,0,0.000396262,0.000396262,0.000396262
75,9016.84,0.49823,0.72479,0.83776,0.89535,0,0.7816,0.70132,0.80592,0.65369,0.73187,0.618,0.71092,0.42884,0.52342,0.62718,0.73707,0.82527,0,0.000382115,0.000382115,0.000382115
